Date,Open,High,Low,Close,Adj Close,Volume
"Oct 22, 2024",418.49,430.58,418.04,427.51,427.51,"25,482,200"
"Oct 21, 2024",416.12,418.96,413.75,418.78,418.78,"14,206,100"
"Oct 18, 2024",417.14,419.65,416.26,418.16,418.16,"17,145,300"
"Oct 17, 2024",422.36,422.5,415.59,416.72,416.72,"14,820,000"
"Oct 16, 2024",415.17,416.36,410.48,416.12,416.12,"15,508,900"
"Oct 15, 2024",422.18,422.48,415.26,418.74,418.74,"18,900,200"
"Oct 14, 2024",417.77,424.04,417.52,419.14,419.14,"16,653,100"
"Oct 11, 2024",416.14,417.13,413.25,416.32,416.32,"14,144,900"
"Oct 10, 2024",415.23,417.35,413.15,415.84,415.84,"13,848,400"
"Oct 9, 2024",415.86,420.38,414.3,417.46,417.46,"14,974,300"
"Oct 8, 2024",410.9,415.66,408.17,414.71,414.71,"19,229,300"
"Oct 7, 2024",416,417.11,409,409.54,409.54,"20,919,800"
"Oct 4, 2024",418.24,419.75,414.97,416.06,416.06,"19,169,700"
"Oct 3, 2024",417.63,419.55,414.29,416.54,416.54,"13,686,400"
"Oct 2, 2024",422.58,422.82,416.71,417.13,417.13,"16,582,300"
"Oct 1, 2024",428.45,428.48,418.81,420.69,420.69,"19,092,900"
"Sep 30, 2024",428.21,430.42,425.37,430.3,430.3,"16,807,300"
"Sep 27, 2024",431.52,431.85,427.47,428.02,428.02,"14,896,100"
"Sep 26, 2024",435.09,435.3,429.13,431.31,431.31,"14,492,000"
"Sep 25, 2024",429.83,433.12,428.57,432.11,432.11,"13,396,400"
"Sep 24, 2024",433,433.35,426.1,429.17,429.17,"17,015,800"
"Sep 23, 2024",434.28,436.46,430.39,433.51,433.51,"15,128,900"
"Sep 20, 2024",437.22,439.24,434.22,435.27,435.27,"55,167,100"
"Sep 19, 2024",441.23,441.5,436.9,438.69,438.69,"21,706,600"
"Sep 18, 2024",435,436.03,430.41,430.81,430.81,"18,898,000"
"Sep 17, 2024",440.23,441.85,432.27,435.15,435.15,"18,874,200"
"Sep 16, 2024",430.6,433.53,428.22,431.34,431.34,"13,834,700"
"Sep 13, 2024",425.83,431.83,425.46,430.59,430.59,"15,874,600"
"Sep 12, 2024",423.31,427.37,419.75,427,427,"17,418,800"
"Sep 11, 2024",415.5,423.99,409.58,423.04,423.04,"19,266,900"
"Sep 10, 2024",408.2,416.33,407.7,414.2,414.2,"19,594,300"
"Sep 9, 2024",407.24,408.65,402.15,405.72,405.72,"15,295,100"
"Sep 6, 2024",409.06,410.65,400.8,401.7,401.7,"19,609,500"
"Sep 5, 2024",407.62,413.1,406.13,408.39,408.39,"14,195,500"
"Sep 4, 2024",405.91,411.24,404.37,408.9,408.9,"15,135,800"
"Sep 3, 2024",417.91,419.88,407.03,409.44,409.44,"20,313,600"
"Aug 30, 2024",415.6,417.49,412.13,417.14,417.14,"24,308,300"
"Aug 29, 2024",414.94,422.05,410.6,413.12,413.12,"17,045,200"
"Aug 28, 2024",414.88,415,407.31,410.6,410.6,"14,882,700"
"Aug 27, 2024",412.86,414.36,410.25,413.84,413.84,"13,492,900"
"Aug 26, 2024",416.37,417.28,411.34,413.49,413.49,"13,152,800"
"Aug 23, 2024",416.98,419.26,412.09,416.79,416.79,"18,493,800"
"Aug 22, 2024",424.36,426.79,414.61,415.55,415.55,"19,361,900"
"Aug 21, 2024",424.08,426.4,421.72,424.14,424.14,"16,067,300"
"Aug 20, 2024",421.7,425.86,421.64,424.8,424.8,"16,387,600"
"Aug 19, 2024",418.96,421.75,416.46,421.53,421.53,"15,234,000"
"Aug 16, 2024",420.6,421.34,417.3,418.47,418.47,"22,775,600"
"Aug 15, 2024",0.75 Dividend,,,,,
"Aug 15, 2024",419.8,421.11,417.66,421.03,421.03,"20,752,100"
"Aug 14, 2024",414.8,417.72,412.45,416.86,416.11,"18,267,000"
"Aug 13, 2024",409.59,414.95,409.57,414.01,413.27,"19,414,300"
"Aug 12, 2024",407.06,408.76,404.24,406.81,406.08,"16,762,900"
"Aug 9, 2024",404.03,408.05,402.26,406.02,405.29,"19,276,700"
"Aug 8, 2024",402.44,405.86,399.94,402.69,401.97,"20,203,000"
"Aug 7, 2024",408.64,410.08,397.47,398.43,397.71,"20,650,900"
"Aug 6, 2024",400,405.67,398.5,399.61,398.89,"24,946,500"
"Aug 5, 2024",389.17,401.04,385.58,395.15,394.44,"40,709,200"
"Aug 2, 2024",412.49,415,404.34,408.49,407.76,"29,437,900"
"Aug 1, 2024",420.79,427.46,413.09,417.11,416.36,"30,296,400"
"Jul 31, 2024",420.5,421.78,412.21,418.35,417.6,"42,891,400"
"Jul 30, 2024",427.72,429.05,417.36,422.92,422.16,"32,687,600"
"Jul 29, 2024",431.58,432.15,424.7,426.73,425.96,"15,125,800"
